_id,COD. INSCRIPCIÓN,NOMBRE,MODALIDAD,CATEGORIA,DIRECCIÓN,LOCALIDAD,MUNICIPIO,ZONA,PLAZAS,FECHA DE INSCRIPCION
1,UH000678            ,A Pamplona,Hotel,2 Estrellas,Sancho Ramirez 15 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,24,1997-02-19T00:00:00
2,UH000645            ,Abba Reino de Navarra,Hotel,4 Estrellas,Acella 1 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,176,1996-01-17T00:00:00
3,UHS00856            ,Abodi II,Hostal,HsG,Sancho Ramírez 31 Esc. Dcha 1ºC,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,8,2010-08-02T00:00:00
4,UH000503            ,AC Ciudad de Pamplona,Hotel,4 Estrellas,Iturrama 21 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,178,1978-12-30T00:00:00
5,uh000737            ,AC Ciudad de Tudela,Hotel,4 Estrellas,"Misericordia, s/n 0 ",TUDELA,TUDELA                                                                                              ,La Ribera,84,2001-11-21T00:00:00
6,UHS00758            ,Acella 4,Hostal,HsG,Pintor Paret 2 2º E,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,16,2003-07-05T00:00:00
7,UPE00655            ,Acella II,Pensión,P**,Acella 3 6º A,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,7,1996-01-17T00:00:00
8,UPE00698            ,Acella III,Pensión,P*,Acella 3 6º B,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,6,1998-11-25T00:00:00
9,uh000786            ,Agorreta,Hotel,3 Estrellas,Ziriota 3 ,SALINAS DE PAMPLONA,GALAR                                                                                               ,Cuenca de Pamplona,47,2005-09-20T00:00:00
10,UPE00327            ,Aguirre,Pensión,P*,Irun km.8 0 ,ORICÁIN,EZCABARTE                                                                                           ,Cuenca de Pamplona,23,1964-06-30T00:00:00
11,UH000802            ,Agustinos,Hotel,3 Estrellas,"Agustinos, Comarca 1 C/B",BERRIOPLANO,BERRIOPLANO                                                                                         ,Cuenca de Pamplona,118,2006-10-27T00:00:00
12,UH000841            ,Aire de Bardenas,Hotel,4 Estrellas,"Ejea, Km 1,5 0 ",TUDELA,TUDELA                                                                                              ,La Ribera,43,2008-10-20T00:00:00
13,UH000777            ,Akerreta,Hotel,2 Estrellas,Transfiguración 11 ,AKERRETA,ESTERIBAR                                                                                           ,Pirineos,20,2004-09-21T00:00:00
14,UHSR0644            ,Alaitze,Hostal,HsRural,San Salvador 52 ,HIRIBERRI/VILLANUEVA DE AEZKOA,HIRIBERRI/VILLANUEVA DE AEZKOA                                                                      ,Pirineos,10,1994-02-11T00:00:00
15,UH000439            ,Alaiz,Hotel,2 Estrellas,Pamplona-Zaragoza km.9 0 ,BERIÁIN,BERIÁIN                                                                                             ,Cuenca de Pamplona,128,1974-05-08T00:00:00
16,UH000652            ,Albret,Hotel,4 Estrellas,Ermitagaña 3 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,212,1995-12-20T00:00:00
17,UH000352            ,Alda Centro Pamplona,Hotel,2 Estrellas,Virgen de la O 7 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,42,1966-10-25T00:00:00
18,uh000613            ,Alhama,Hotel,3 Estrellas,N.113 Pamplona-Madrid 0 ,CINTRUÉNIGO,CINTRUÉNIGO                                                                                         ,La Ribera,64,1990-10-10T00:00:00
19,UH000880            ,Alma Pamplona,Hotel,5 Estrellas,Beloso Bajo 11 ,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,118,2012-01-25T00:00:00
20,UHS00824            ,Alojamientos Pamplona,Hostal,HsG,Sancho Ramírez 7 1ºB,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,11,2008-03-28T00:00:00
21,UPE00865            ,Amets,Pensión,P*,Gerestegi 25 ,ZUBIRI,ESTERIBAR                                                                                           ,Pirineos,9,2010-11-08T00:00:00
22,UHS00642            ,Ameztia,Hostal,HsG,Ameztia 9 ,DONEZTEBE/SANTESTEBAN,DONEZTEBE/SANTESTEBAN                                                                               ,Pirineos,17,1994-09-21T00:00:00
23,UHS00934            ,Ameztia II,Hostal,HsG,Ameztia  11 ,DONEZTEBE/SANTESTEBAN,DONEZTEBE/SANTESTEBAN                                                                               ,Pirineos,20,2018-06-14T00:00:00
24,UHSR0964            ,Amillano Rural Suites,Hostal,HsRural,San Román 1 ,AMILLANO,ALLÍN                                                                                               ,Zona Media,10,2021-12-07T00:00:00
25,UH000706            ,Andía,Hotel,4 Estrellas,Ipertegui 1 ,ORKOIEN,ORCOYEN                                                                                             ,Cuenca de Pamplona,242,1999-10-28T00:00:00
26,UHSR0969            ,Ansonea,Hostal,HsRural,Los Fueros 1 ,BERA,BERA/VERA DE BIDASOA                                                                                ,Pirineos,14,2021-10-11T00:00:00
27,UHS00755            ,Aralar,Hostal,HsG,San Nicolás 12 2º,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,5,2002-10-23T00:00:00
28,UHS00823            ,Aralar,Hostal,HsG,Guipúzcoa Km 5´5 0 ,AIZOÁIN,BERRIOPLANO                                                                                         ,Cuenca de Pamplona,60,2008-12-03T00:00:00
29,UHS00766            ,Arangoiti,Hostal,HsG,René Petit 0 S/N,YESA,YESA                                                                                                ,Zona Media,15,2003-12-16T00:00:00
30,UH000897            ,Arantza,Hotel,5 Estrellas,Aientsa Auzoa 10 Arantza Hotela,ARANTZA,ARANTZA                                                                                             ,Pirineos,24,2013-06-08T00:00:00
31,UHS00709            ,Ardoi,Hostal,HsG,Belascoain 30 ,ZIZUR MAYOR,ZIZUR MAYOR <> ZIZUR NAGUSIA                                                                        ,Cuenca de Pamplona,16,2000-01-19T00:00:00
32,UHS00745            ,Area 99,Hostal,HsG,Merkatondoa  32 A,ESTELLA-LIZARRA,ESTELLA <> LIZARRA                                                                                  ,Zona Media,22,2002-03-20T00:00:00
33,UHR00811            ,Aribe,Hotel rural,2 Estrellas,Santa María 33 ,ARIBE,ARIBE                                                                                               ,Pirineos,20,2007-12-07T00:00:00
34,UHS00959            ,Aritzalko,Hostal,HsG,Pamplona-Vitoria 0 km. 23,ETXARRI-ARANATZ,ETXARRI-ARANATZ                                                                                     ,Pirineos,17,2021-01-18T00:00:00
35,UHSR0531            ,Aróstegui,Hostal,HsRural,Chiquirrín 13 ,GARAIOA,GARAIOA                                                                                             ,Pirineos,14,1980-05-28T00:00:00
36,UHS00600            ,Arotza,Hostal,HsG,De Navarra 3 ,TAFALLA,TAFALLA                                                                                             ,Zona Media,32,1989-09-27T00:00:00
37,UPE00968            ,Arpetxea,Pensión,P*,San Juan 18 ,RONCAL,RONCAL <> ERRONKARI                                                                                 ,Pirineos,8,2021-07-10T00:00:00
38,UHS00746            ,Arriazu,Hostal,HsG,Comedias  14 1º - 2º,PAMPLONA,PAMPLONA <> IRUÑA                                                                                   ,Cuenca de Pamplona,43,2002-04-24T00:00:00
39,UHSR0850            ,Arrobi Borda,Hostal,HsRural,"Irurita, s/n 0 ",EUGI,ESTERIBAR                                                                                           ,Pirineos,9,2009-05-06T00:00:00
40,UPE00896            ,Arróniz,Pensión,P**,Allo 14 ,ARRÓNIZ,ARRÓNIZ                                                                                             ,Zona Media,9,2013-06-14T00:00:00
